,Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
0,198,Abreu e Lima,05/2021,"17,1",6,0,40,"19,2","3,5","1,6",14,"7,6","14,6","8,1",7,"57,5",136,"24,2",0,"0,8",0,0,0,"7,1","1,5",0,"0,9",0,0,2,"7,5",-,-,-,"8750,9"
1,309,Araçoiaba (Granja Cristo Redentor),05/2021,"3,1","8,5","1,4","15,3","2,1",0,0,"8,3","4,2","12,9","1,7","12,4","47,7","154,3","19,9",0,0,0,0,0,3,"1,3",0,2,0,0,0,"18,4",0,"2,3","52,1","5855,1"
2,301,Cabo,05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
3,490,Cabo (Barragem de Gurjaú),05/2021,"5,7","5,1","3,4","28,2","0,6","3,2","3,2",7,4,"21,4","6,6","3,9","11,1","128,4","10,2",0,0,0,0,0,"18,3","8,9",0,0,0,"2,7","7,7","23,5","7,2",0,"24,8","9366,8"
4,491,Cabo (Barragem de Suape),05/2021,"6,5","6,5","21,5","12,9","20,3","5,8",0,15,"15,7",22,"6,7","16,7","24,9",184,"8,7",0,0,0,"0,7",0,"23,6","3,2",0,0,0,0,"14,2","16,3","7,8",0,"31,8","9539,9"
5,603,Cabo (Pirapama),05/2021,"13,3","6,7","3,1","3,1","27,5","1,3","0,9","2,1","17,5","3,2","7,7","8,7","29,3","171,7","14,9","0,6",0,0,0,"0,6","6,5",10,0,"3,9",0,0,"7,4","39,4","9,7","1,1","25,1",9823
6,201,Camaragibe,05/2021,"5,2","16,4",0,"40,2","30,4","14,3",0,"3,5",6,8,"5,5","4,4",45,"135,3","18,7",0,0,0,0,0,"6,5","3,2",0,"2,1",0,"0,8","5,7","46,1","4,5",0,"71,3",8877
7,28,Goiana (Itapirema - IPA),05/2021,"0,4","0,2",0,"13,8","4,6","0,6","0,2","3,6","9,8","8,6","1,8",0,"44,2","110,2","18,2",0,0,0,0,0,4,"1,8",0,0,"0,2",0,"0,2","2,2","4,2","1,8","15,2","6098,7"
8,487,Goiana - PCD,05/2021,0,"1,2",0,"15,6",34,"1,6",0,0,"3,6","1,2",2,"3,2","1,4","32,8",39,"16,4","0,8",0,"1,2",0,1,"4,6",0,"5,4",0,"0,2",0,"3,4","14,8",0,"6,8",871
9,100,Igarassu,05/2021,13,"6,7",0,"31,8",54,"1,9",0,"5,5","5,4","19,1","12,1","8,3","34,9","210,7","31,1",0,"0,5",0,0,0,"6,7","2,2",0,"2,2",0,0,"0,7","15,7","6,8","0,6","26,5","8265,5"
10,269,Igarassu (Bar.Catucá),05/2021,3,"27,9","15,3",0,"5,8","4,2",0,0,"8,8",-,-,-,-,-,-,-,-,-,0,0,"1,7",0,0,0,0,"5,4","0,8","16,4","4,2",0,"48,8","6499,1"
11,294,Igarassu (Usina São José),05/2021,0,0,0,"35,3","10,7","3,6",0,"0,2",0,"14,5","5,4","1,9","28,2",172,"42,2",0,0,0,0,0,"5,2","4,4",0,"2,5",0,2,"2,8","14,5","3,8",0,"31,7","6727,4"
12,387,Ipojuca,05/2021,"6,1","21,7","3,3","23,5","33,2","6,3","4,7",1,"12,4","13,8","10,7","7,1","18,8","153,4",10,0,0,0,"0,8",1,"4,9",9,"0,3",0,0,0,9,"28,5","10,6","0,5","23,8",10181
13,602,Ipojuca (Suape) - PCD,05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5432,2"
14,524,Itamaracá,05/2021,"0,1","0,3",0,43,"22,2","0,9",1,"6,4","10,9","47,4","27,6","16,2","82,5","132,7","18,5",0,"0,4","2,5","0,5",0,"8,2","0,4",0,"0,2",0,"0,6","0,8","7,7",6,"0,2","20,8","7707,2"
15,520,Itapissuma,05/2021,"8,5","5,4",0,"39,5","12,5","1,5","0,4","5,6","10,5","29,4","15,5","11,5",55,"134,8","19,5",0,0,"1,5","0,3",0,"7,5","3,2",0,"1,2",0,"0,5",1,"10,8","5,5",1,"19,5","7373,2"
16,604,Jaboatão (Cidade da Copa) - PCD,05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8785,2"
17,202,Jaboatão dos Guararapes,05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
18,268,Jaboatão dos Guararapes (Bar.Duas Unas),05/2021,2,"10,4",0,"7,9","21,3",11,"1,3","2,5","9,5","9,2","5,4","3,9","39,2","171,4","33,5","0,3",0,0,0,0,8,"6,5",0,1,0,0,"8,5","53,2","4,3","4,2","61,5","9203,9"
19,205,Moreno,05/2021,"2,1","10,5",0,"15,1",19,"12,4",1,2,"9,7","10,1","4,9","2,1","41,4","169,1","34,2","0,7",0,0,0,0,"8,1","5,9",0,"1,1",0,0,"2,7","51,5","4,6","4,1","61,9",8390
20,199,Olinda,05/2021,"35,5",4,"3,5","50,5","70,8","24,2",3,"3,1",10,"25,2","10,6","5,4","15,2","184,7","34,2",0,"2,2","0,4","0,5",0,"17,5","4,1",0,"0,7",0,0,"6,9","26,8","3,6",0,34,"1425,5"
21,551,Olinda (Academia Santa Gertrudes),05/2021,1,"3,5","0,2","55,4","97,5",-,"0,4","5,1","7,1","24,2","3,2","6,2","54,9",120,"23,7",0,"1,6",1,"0,1",0,"13,6",3,0,"0,4",0,0,"6,2","23,1",0,5,"38,3","7795,2"
22,209,Olinda (Alto da Bondade),05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
23,1049,Olinda (Jardim Atlântico),05/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
24,451,Paulista,05/2021,"1,6","7,7","0,2","63,7","25,8","8,5",0,"2,8","12,2","18,8","5,1","4,8","73,4","165,8","17,4",0,1,"0,4",0,0,"6,3","0,4",0,0,0,0,3,"31,5","2,4",0,41,"8190,9"
25,265,Recife (Alto da Brasileira),05/2021,"26,6",0,"6,4",0,"28,5","38,5","9,2","1,9",3,-,"9,2","6,7","44,9","130,2","23,6",0,0,0,0,0,"12,5",0,0,"0,5",0,1,"3,5","24,9","5,3",0,"52,9","8504,7"
26,196,Recife (Codecipe / Santo Amaro),05/2021,"21,6","2,6","1,5",32,110,"26,2",2,"0,6","4,6","17,2",3,"13,5","66,6",138,"23,2",0,"0,1",0,0,0,"7,6","3,2",0,"0,3",0,0,"4,1","24,4","4,3","0,2",67,"8354,5"
27,30,Recife (Várzea),05/2021,"9,8","15,4","0,2","59,6","43,8","0,6","13,8","2,6","3,8",22,"6,6","4,2","68,4","134,4","24,6",0,0,0,"0,2",0,"6,8","2,6",0,"1,8",0,"0,2","7,8","51,6","7,6",1,60,"1410,2"
28,267,São Lourenço da Mata (Tapacurá),05/2021,"1,2",0,"6,1",0,"3,9","8,1",0,8,"1,3","16,3","2,6","4,9","36,4","95,1","16,1",0,0,0,"2,1",0,"9,5",0,0,0,0,0,"2,5","32,1","1,8",0,"54,1","5980,6"
29,198,Abreu e Lima,06/2021,"0,3",0,0,"5,6","1,7","24,5","5,6","1,7",13,"1,8",4,0,0,0,"4,2","2,1","0,5","15,6","3,8",0,"2,2","3,1","4,5","6,6","19,2",0,1,"2,3","3,6","5,6",-,"8750,9"
30,309,Araçoiaba (Granja Cristo Redentor),06/2021,"2,2",0,"2,4",0,0,"17,8","4,5",0,"2,8",0,0,0,0,0,"1,9",0,0,"7,8","12,3","2,2",0,"3,6",-,"12,5","17,1",0,0,"0,3",0,"0,9",-,"5855,1"
31,301,Cabo,06/2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
